date,cash,position_value,nav
2021-05-24,100000.0,0.0,100000.0
2021-05-25,100000.0,0.0,100000.0
2021-05-26,100000.0,0.0,100000.0
2021-05-27,100000.0,0.0,100000.0
2021-05-28,100000.0,0.0,100000.0
2021-06-01,100000.0,0.0,100000.0
2021-06-02,100000.0,0.0,100000.0
2021-06-03,100000.0,0.0,100000.0
2021-06-04,100000.0,0.0,100000.0
2021-06-07,100000.0,0.0,100000.0
2021-06-08,100000.0,0.0,100000.0
2021-06-09,100000.0,0.0,100000.0
2021-06-10,100000.0,0.0,100000.0
2021-06-11,100000.0,0.0,100000.0
2021-06-14,100000.0,0.0,100000.0
2021-06-15,100000.0,0.0,100000.0
2021-06-16,100000.0,0.0,100000.0
2021-06-17,100000.0,0.0,100000.0
2021-06-18,100000.0,0.0,100000.0
2021-06-21,100000.0,0.0,100000.0
2021-06-22,100000.0,0.0,100000.0
2021-06-23,100000.0,0.0,100000.0
2021-06-24,100000.0,0.0,100000.0
2021-06-25,100000.0,0.0,100000.0
2021-06-28,100000.0,0.0,100000.0
2021-06-29,100000.0,0.0,100000.0
2021-06-30,100000.0,0.0,100000.0
2021-07-01,100000.0,0.0,100000.0
2021-07-02,100000.0,0.0,100000.0
2021-07-06,100000.0,0.0,100000.0
2021-07-07,100000.0,0.0,100000.0
2021-07-08,100000.0,0.0,100000.0
2021-07-09,100000.0,0.0,100000.0
2021-07-12,100000.0,0.0,100000.0
2021-07-13,100000.0,0.0,100000.0
2021-07-14,100000.0,0.0,100000.0
2021-07-15,100000.0,0.0,100000.0
2021-07-16,100000.0,0.0,100000.0
2021-07-19,100000.0,0.0,100000.0
2021-07-20,100000.0,0.0,100000.0
2021-07-21,100000.0,0.0,100000.0
2021-07-22,100000.0,0.0,100000.0
2021-07-23,100000.0,0.0,100000.0
2021-07-26,100000.0,0.0,100000.0
2021-07-27,100000.0,0.0,100000.0
2021-07-28,80054.3586,19903.6408,99957.9994
2021-07-29,80054.3586,20285.7095,100340.068
2021-07-30,89272.6173,10536.9613,99809.5786
2021-08-02,89272.6173,10881.4979,100154.1151
2021-08-03,89272.6173,10882.5712,100155.1884
2021-08-04,89272.6173,10900.6643,100173.2816
2021-08-05,89272.6173,10957.5504,100230.1677
2021-08-06,89272.6173,10719.4261,99992.0434
2021-08-09,89272.6173,10944.2106,100216.8278
2021-08-10,89272.6173,10886.4045,100159.0217
2021-08-11,89272.6173,10853.1315,100125.7487
2021-08-12,89272.6173,11074.3893,100347.0065
2021-08-13,89272.6173,10996.4967,100269.114
2021-08-16,89272.6173,10521.1681,99793.7854
2021-08-17,89272.6173,10207.4513,99480.0685
2021-08-18,89272.6173,10564.4077,99837.025
