param_fast_window,param_slow_window,param_atr_window,param_risk_pct,param_max_pos_pct,param_stop_atr,param_trail_atr,param_max_drawdown_pct,stat_final_equity,stat_total_return_pct,stat_annual_return_pct,stat_max_drawdown_pct,stat_sharpe_ratio,stat_calmar_ratio,stat_trade_count,stat_win_rate_pct,stat_score
10,120,10,0.03,0.5,1.5,2.5,0.15,21250.28,112.5028,35.2552,13.8966,1.4984,2.537,24,63.6364,2.69769
10,120,10,0.03,0.5,1.5,2.5,0.25,21250.28,112.5028,35.2552,13.8966,1.4984,2.537,24,63.6364,2.69769
10,120,10,0.03,0.5,1.5,2.5,0.35,21250.28,112.5028,35.2552,13.8966,1.4984,2.537,24,63.6364,2.69769
10,120,10,0.03,0.75,1.5,2.5,0.15,21250.28,112.5028,35.2552,13.8966,1.4984,2.537,24,63.6364,2.69769
10,120,10,0.03,0.75,1.5,2.5,0.25,21250.28,112.5028,35.2552,13.8966,1.4984,2.537,24,63.6364,2.69769
10,120,10,0.03,0.75,1.5,2.5,0.35,21250.28,112.5028,35.2552,13.8966,1.4984,2.537,24,63.6364,2.69769
10,120,10,0.03,0.95,1.5,2.5,0.15,21250.28,112.5028,35.2552,13.8966,1.4984,2.537,24,63.6364,2.69769
10,120,10,0.03,0.95,1.5,2.5,0.25,21250.28,112.5028,35.2552,13.8966,1.4984,2.537,24,63.6364,2.69769
10,120,10,0.03,0.95,1.5,2.5,0.35,21250.28,112.5028,35.2552,13.8966,1.4984,2.537,24,63.6364,2.69769
20,120,10,0.03,0.5,1.5,2.5,0.15,20889.8,108.898,34.3313,13.9339,1.4634,2.4639,24,63.6364,2.617215
20,120,10,0.03,0.5,1.5,2.5,0.25,20889.8,108.898,34.3313,13.9339,1.4634,2.4639,24,63.6364,2.617215
20,120,10,0.03,0.5,1.5,2.5,0.35,20889.8,108.898,34.3313,13.9339,1.4634,2.4639,24,63.6364,2.617215
20,120,10,0.03,0.75,1.5,2.5,0.15,20889.8,108.898,34.3313,13.9339,1.4634,2.4639,24,63.6364,2.617215
20,120,10,0.03,0.75,1.5,2.5,0.25,20889.8,108.898,34.3313,13.9339,1.4634,2.4639,24,63.6364,2.617215
20,120,10,0.03,0.75,1.5,2.5,0.35,20889.8,108.898,34.3313,13.9339,1.4634,2.4639,24,63.6364,2.617215
20,120,10,0.03,0.95,1.5,2.5,0.15,20889.8,108.898,34.3313,13.9339,1.4634,2.4639,24,63.6364,2.617215
20,120,10,0.03,0.95,1.5,2.5,0.25,20889.8,108.898,34.3313,13.9339,1.4634,2.4639,24,63.6364,2.617215
20,120,10,0.03,0.95,1.5,2.5,0.35,20889.8,108.898,34.3313,13.9339,1.4634,2.4639,24,63.6364,2.617215
10,120,10,0.02,0.5,1.5,2.5,0.15,16823.93,68.2393,23.1728,9.8727,1.4673,2.3472,24,63.6364,2.54188
10,120,10,0.02,0.5,1.5,2.5,0.25,16823.93,68.2393,23.1728,9.8727,1.4673,2.3472,24,63.6364,2.54188
10,120,10,0.02,0.5,1.5,2.5,0.35,16823.93,68.2393,23.1728,9.8727,1.4673,2.3472,24,63.6364,2.54188
10,120,10,0.02,0.75,1.5,2.5,0.15,16823.93,68.2393,23.1728,9.8727,1.4673,2.3472,24,63.6364,2.54188
10,120,10,0.02,0.75,1.5,2.5,0.25,16823.93,68.2393,23.1728,9.8727,1.4673,2.3472,24,63.6364,2.54188
10,120,10,0.02,0.75,1.5,2.5,0.35,16823.93,68.2393,23.1728,9.8727,1.4673,2.3472,24,63.6364,2.54188
10,120,10,0.02,0.95,1.5,2.5,0.15,16823.93,68.2393,23.1728,9.8727,1.4673,2.3472,24,63.6364,2.54188
10,120,10,0.02,0.95,1.5,2.5,0.25,16823.93,68.2393,23.1728,9.8727,1.4673,2.3472,24,63.6364,2.54188
10,120,10,0.02,0.95,1.5,2.5,0.35,16823.93,68.2393,23.1728,9.8727,1.4673,2.3472,24,63.6364,2.54188
20,120,10,0.02,0.5,1.5,2.5,0.15,16521.91,65.2191,22.2821,9.882,1.4182,2.2548,24,63.6364,2.439628
20,120,10,0.02,0.5,1.5,2.5,0.25,16521.91,65.2191,22.2821,9.882,1.4182,2.2548,24,63.6364,2.439628
20,120,10,0.02,0.5,1.5,2.5,0.35,16521.91,65.2191,22.2821,9.882,1.4182,2.2548,24,63.6364,2.439628
20,120,10,0.02,0.75,1.5,2.5,0.15,16521.91,65.2191,22.2821,9.882,1.4182,2.2548,24,63.6364,2.439628
20,120,10,0.02,0.75,1.5,2.5,0.25,16521.91,65.2191,22.2821,9.882,1.4182,2.2548,24,63.6364,2.439628
20,120,10,0.02,0.75,1.5,2.5,0.35,16521.91,65.2191,22.2821,9.882,1.4182,2.2548,24,63.6364,2.439628
20,120,10,0.02,0.95,1.5,2.5,0.15,16521.91,65.2191,22.2821,9.882,1.4182,2.2548,24,63.6364,2.439628
20,120,10,0.02,0.95,1.5,2.5,0.25,16521.91,65.2191,22.2821,9.882,1.4182,2.2548,24,63.6364,2.439628
20,120,10,0.02,0.95,1.5,2.5,0.35,16521.91,65.2191,22.2821,9.882,1.4182,2.2548,24,63.6364,2.439628
10,120,10,0.03,0.5,2.5,2.5,0.15,15749.29,57.4929,19.9582,8.9676,1.4066,2.2256,24,63.6364,2.417222
10,120,10,0.03,0.5,2.5,2.5,0.25,15749.29,57.4929,19.9582,8.9676,1.4066,2.2256,24,63.6364,2.417222
10,120,10,0.03,0.5,2.5,2.5,0.35,15749.29,57.4929,19.9582,8.9676,1.4066,2.2256,24,63.6364,2.417222
10,120,10,0.03,0.75,2.5,2.5,0.15,15749.29,57.4929,19.9582,8.9676,1.4066,2.2256,24,63.6364,2.417222
10,120,10,0.03,0.75,2.5,2.5,0.25,15749.29,57.4929,19.9582,8.9676,1.4066,2.2256,24,63.6364,2.417222
10,120,10,0.03,0.75,2.5,2.5,0.35,15749.29,57.4929,19.9582,8.9676,1.4066,2.2256,24,63.6364,2.417222
10,120,10,0.03,0.95,2.5,2.5,0.15,15749.29,57.4929,19.9582,8.9676,1.4066,2.2256,24,63.6364,2.417222
10,120,10,0.03,0.95,2.5,2.5,0.25,15749.29,57.4929,19.9582,8.9676,1.4066,2.2256,24,63.6364,2.417222
10,120,10,0.03,0.95,2.5,2.5,0.35,15749.29,57.4929,19.9582,8.9676,1.4066,2.2256,24,63.6364,2.417222
10,120,10,0.03,0.5,3.5,2.5,0.15,13954.35,39.5435,14.2815,6.683,1.3964,2.137,24,63.6364,2.349445
10,120,10,0.03,0.5,3.5,2.5,0.25,13954.35,39.5435,14.2815,6.683,1.3964,2.137,24,63.6364,2.349445
10,120,10,0.03,0.5,3.5,2.5,0.35,13954.35,39.5435,14.2815,6.683,1.3964,2.137,24,63.6364,2.349445
10,120,10,0.03,0.75,3.5,2.5,0.15,13954.35,39.5435,14.2815,6.683,1.3964,2.137,24,63.6364,2.349445
10,120,10,0.03,0.75,3.5,2.5,0.25,13954.35,39.5435,14.2815,6.683,1.3964,2.137,24,63.6364,2.349445
10,120,10,0.03,0.75,3.5,2.5,0.35,13954.35,39.5435,14.2815,6.683,1.3964,2.137,24,63.6364,2.349445
10,120,10,0.03,0.95,3.5,2.5,0.15,13954.35,39.5435,14.2815,6.683,1.3964,2.137,24,63.6364,2.349445
10,120,10,0.03,0.95,3.5,2.5,0.25,13954.35,39.5435,14.2815,6.683,1.3964,2.137,24,63.6364,2.349445
10,120,10,0.03,0.95,3.5,2.5,0.35,13954.35,39.5435,14.2815,6.683,1.3964,2.137,24,63.6364,2.349445
10,120,10,0.01,0.5,1.5,2.5,0.15,12979.08,29.7908,11.0119,5.2079,1.4025,2.1145,24,63.6364,2.342886
10,120,10,0.01,0.5,1.5,2.5,0.25,12979.08,29.7908,11.0119,5.2079,1.4025,2.1145,24,63.6364,2.342886
10,120,10,0.01,0.5,1.5,2.5,0.35,12979.08,29.7908,11.0119,5.2079,1.4025,2.1145,24,63.6364,2.342886
10,120,10,0.01,0.75,1.5,2.5,0.15,12979.08,29.7908,11.0119,5.2079,1.4025,2.1145,24,63.6364,2.342886
10,120,10,0.01,0.75,1.5,2.5,0.25,12979.08,29.7908,11.0119,5.2079,1.4025,2.1145,24,63.6364,2.342886
10,120,10,0.01,0.75,1.5,2.5,0.35,12979.08,29.7908,11.0119,5.2079,1.4025,2.1145,24,63.6364,2.342886
10,120,10,0.01,0.95,1.5,2.5,0.15,12979.08,29.7908,11.0119,5.2079,1.4025,2.1145,24,63.6364,2.342886
10,120,10,0.01,0.95,1.5,2.5,0.25,12979.08,29.7908,11.0119,5.2079,1.4025,2.1145,24,63.6364,2.342886
10,120,10,0.01,0.95,1.5,2.5,0.35,12979.08,29.7908,11.0119,5.2079,1.4025,2.1145,24,63.6364,2.342886
20,120,10,0.03,0.5,2.5,2.5,0.15,15608.52,56.0852,19.5275,9.049,1.3745,2.158,24,63.6364,2.342371
20,120,10,0.03,0.5,2.5,2.5,0.25,15608.52,56.0852,19.5275,9.049,1.3745,2.158,24,63.6364,2.342371
20,120,10,0.03,0.5,2.5,2.5,0.35,15608.52,56.0852,19.5275,9.049,1.3745,2.158,24,63.6364,2.342371
20,120,10,0.03,0.75,2.5,2.5,0.15,15608.52,56.0852,19.5275,9.049,1.3745,2.158,24,63.6364,2.342371
20,120,10,0.03,0.75,2.5,2.5,0.25,15608.52,56.0852,19.5275,9.049,1.3745,2.158,24,63.6364,2.342371
20,120,10,0.03,0.75,2.5,2.5,0.35,15608.52,56.0852,19.5275,9.049,1.3745,2.158,24,63.6364,2.342371
20,120,10,0.03,0.95,2.5,2.5,0.15,15608.52,56.0852,19.5275,9.049,1.3745,2.158,24,63.6364,2.342371
20,120,10,0.03,0.95,2.5,2.5,0.25,15608.52,56.0852,19.5275,9.049,1.3745,2.158,24,63.6364,2.342371
20,120,10,0.03,0.95,2.5,2.5,0.35,15608.52,56.0852,19.5275,9.049,1.3745,2.158,24,63.6364,2.342371
10,120,10,0.02,0.5,2.5,2.5,0.15,13578.82,35.7882,13.0393,6.1776,1.3791,2.1107,24,63.6364,2.324781
10,120,10,0.02,0.5,2.5,2.5,0.25,13578.82,35.7882,13.0393,6.1776,1.3791,2.1107,24,63.6364,2.324781
10,120,10,0.02,0.5,2.5,2.5,0.35,13578.82,35.7882,13.0393,6.1776,1.3791,2.1107,24,63.6364,2.324781
10,120,10,0.02,0.75,2.5,2.5,0.15,13578.82,35.7882,13.0393,6.1776,1.3791,2.1107,24,63.6364,2.324781
10,120,10,0.02,0.75,2.5,2.5,0.25,13578.82,35.7882,13.0393,6.1776,1.3791,2.1107,24,63.6364,2.324781
10,120,10,0.02,0.75,2.5,2.5,0.35,13578.82,35.7882,13.0393,6.1776,1.3791,2.1107,24,63.6364,2.324781
10,120,10,0.02,0.95,2.5,2.5,0.15,13578.82,35.7882,13.0393,6.1776,1.3791,2.1107,24,63.6364,2.324781
10,120,10,0.02,0.95,2.5,2.5,0.25,13578.82,35.7882,13.0393,6.1776,1.3791,2.1107,24,63.6364,2.324781
10,120,10,0.02,0.95,2.5,2.5,0.35,13578.82,35.7882,13.0393,6.1776,1.3791,2.1107,24,63.6364,2.324781
20,120,10,0.01,0.5,1.5,2.5,0.15,12904.48,29.0448,10.7558,5.2404,1.3684,2.0525,24,63.6364,2.273759
20,120,10,0.01,0.5,1.5,2.5,0.25,12904.48,29.0448,10.7558,5.2404,1.3684,2.0525,24,63.6364,2.273759
20,120,10,0.01,0.5,1.5,2.5,0.35,12904.48,29.0448,10.7558,5.2404,1.3684,2.0525,24,63.6364,2.273759
20,120,10,0.01,0.75,1.5,2.5,0.15,12904.48,29.0448,10.7558,5.2404,1.3684,2.0525,24,63.6364,2.273759
20,120,10,0.01,0.75,1.5,2.5,0.25,12904.48,29.0448,10.7558,5.2404,1.3684,2.0525,24,63.6364,2.273759
20,120,10,0.01,0.75,1.5,2.5,0.35,12904.48,29.0448,10.7558,5.2404,1.3684,2.0525,24,63.6364,2.273759
20,120,10,0.01,0.95,1.5,2.5,0.15,12904.48,29.0448,10.7558,5.2404,1.3684,2.0525,24,63.6364,2.273759
20,120,10,0.01,0.95,1.5,2.5,0.25,12904.48,29.0448,10.7558,5.2404,1.3684,2.0525,24,63.6364,2.273759
20,120,10,0.01,0.95,1.5,2.5,0.35,12904.48,29.0448,10.7558,5.2404,1.3684,2.0525,24,63.6364,2.273759
20,120,10,0.02,0.5,2.5,2.5,0.15,13510.45,35.1045,12.8109,6.2037,1.3529,2.065,24,63.6364,2.273576
20,120,10,0.02,0.5,2.5,2.5,0.25,13510.45,35.1045,12.8109,6.2037,1.3529,2.065,24,63.6364,2.273576
20,120,10,0.02,0.5,2.5,2.5,0.35,13510.45,35.1045,12.8109,6.2037,1.3529,2.065,24,63.6364,2.273576
20,120,10,0.02,0.75,2.5,2.5,0.15,13510.45,35.1045,12.8109,6.2037,1.3529,2.065,24,63.6364,2.273576
20,120,10,0.02,0.75,2.5,2.5,0.25,13510.45,35.1045,12.8109,6.2037,1.3529,2.065,24,63.6364,2.273576
20,120,10,0.02,0.75,2.5,2.5,0.35,13510.45,35.1045,12.8109,6.2037,1.3529,2.065,24,63.6364,2.273576
20,120,10,0.02,0.95,2.5,2.5,0.15,13510.45,35.1045,12.8109,6.2037,1.3529,2.065,24,63.6364,2.273576
20,120,10,0.02,0.95,2.5,2.5,0.25,13510.45,35.1045,12.8109,6.2037,1.3529,2.065,24,63.6364,2.273576
20,120,10,0.02,0.95,2.5,2.5,0.35,13510.45,35.1045,12.8109,6.2037,1.3529,2.065,24,63.6364,2.273576
10,120,10,0.01,0.5,2.5,2.5,0.15,11702.32,17.0232,6.5006,3.2135,1.3671,2.0229,24,63.6364,2.264209
10,120,10,0.01,0.5,2.5,2.5,0.25,11702.32,17.0232,6.5006,3.2135,1.3671,2.0229,24,63.6364,2.264209
10,120,10,0.01,0.5,2.5,2.5,0.35,11702.32,17.0232,6.5006,3.2135,1.3671,2.0229,24,63.6364,2.264209
10,120,10,0.01,0.75,2.5,2.5,0.15,11702.32,17.0232,6.5006,3.2135,1.3671,2.0229,24,63.6364,2.264209
10,120,10,0.01,0.75,2.5,2.5,0.25,11702.32,17.0232,6.5006,3.2135,1.3671,2.0229,24,63.6364,2.264209
10,120,10,0.01,0.75,2.5,2.5,0.35,11702.32,17.0232,6.5006,3.2135,1.3671,2.0229,24,63.6364,2.264209
10,120,10,0.01,0.95,2.5,2.5,0.15,11702.32,17.0232,6.5006,3.2135,1.3671,2.0229,24,63.6364,2.264209
10,120,10,0.01,0.95,2.5,2.5,0.25,11702.32,17.0232,6.5006,3.2135,1.3671,2.0229,24,63.6364,2.264209
10,120,10,0.01,0.95,2.5,2.5,0.35,11702.32,17.0232,6.5006,3.2135,1.3671,2.0229,24,63.6364,2.264209
20,120,10,0.03,0.5,3.5,2.5,0.15,13755.76,37.5576,13.6271,6.6318,1.3403,2.0548,24,63.6364,2.256544
20,120,10,0.03,0.5,3.5,2.5,0.25,13755.76,37.5576,13.6271,6.6318,1.3403,2.0548,24,63.6364,2.256544
20,120,10,0.03,0.5,3.5,2.5,0.35,13755.76,37.5576,13.6271,6.6318,1.3403,2.0548,24,63.6364,2.256544
20,120,10,0.03,0.75,3.5,2.5,0.15,13755.76,37.5576,13.6271,6.6318,1.3403,2.0548,24,63.6364,2.256544
20,120,10,0.03,0.75,3.5,2.5,0.25,13755.76,37.5576,13.6271,6.6318,1.3403,2.0548,24,63.6364,2.256544
20,120,10,0.03,0.75,3.5,2.5,0.35,13755.76,37.5576,13.6271,6.6318,1.3403,2.0548,24,63.6364,2.256544
20,120,10,0.03,0.95,3.5,2.5,0.15,13755.76,37.5576,13.6271,6.6318,1.3403,2.0548,24,63.6364,2.256544
20,120,10,0.03,0.95,3.5,2.5,0.25,13755.76,37.5576,13.6271,6.6318,1.3403,2.0548,24,63.6364,2.256544
20,120,10,0.03,0.95,3.5,2.5,0.35,13755.76,37.5576,13.6271,6.6318,1.3403,2.0548,24,63.6364,2.256544
10,120,10,0.02,0.5,3.5,2.5,0.15,12468.21,24.6821,9.2402,4.556,1.3652,2.0281,24,63.6364,2.255613
10,120,10,0.02,0.5,3.5,2.5,0.25,12468.21,24.6821,9.2402,4.556,1.3652,2.0281,24,63.6364,2.255613
10,120,10,0.02,0.5,3.5,2.5,0.35,12468.21,24.6821,9.2402,4.556,1.3652,2.0281,24,63.6364,2.255613
10,120,10,0.02,0.75,3.5,2.5,0.15,12468.21,24.6821,9.2402,4.556,1.3652,2.0281,24,63.6364,2.255613
10,120,10,0.02,0.75,3.5,2.5,0.25,12468.21,24.6821,9.2402,4.556,1.3652,2.0281,24,63.6364,2.255613
10,120,10,0.02,0.75,3.5,2.5,0.35,12468.21,24.6821,9.2402,4.556,1.3652,2.0281,24,63.6364,2.255613
10,120,10,0.02,0.95,3.5,2.5,0.15,12468.21,24.6821,9.2402,4.556,1.3652,2.0281,24,63.6364,2.255613
10,120,10,0.02,0.95,3.5,2.5,0.25,12468.21,24.6821,9.2402,4.556,1.3652,2.0281,24,63.6364,2.255613
10,120,10,0.02,0.95,3.5,2.5,0.35,12468.21,24.6821,9.2402,4.556,1.3652,2.0281,24,63.6364,2.255613
20,120,10,0.01,0.5,2.5,2.5,0.15,11672.14,16.7214,6.3905,3.2258,1.3466,1.9811,24,63.6364,2.218128
20,120,10,0.01,0.5,2.5,2.5,0.25,11672.14,16.7214,6.3905,3.2258,1.3466,1.9811,24,63.6364,2.218128
20,120,10,0.01,0.5,2.5,2.5,0.35,11672.14,16.7214,6.3905,3.2258,1.3466,1.9811,24,63.6364,2.218128
20,120,10,0.01,0.75,2.5,2.5,0.15,11672.14,16.7214,6.3905,3.2258,1.3466,1.9811,24,63.6364,2.218128
20,120,10,0.01,0.75,2.5,2.5,0.25,11672.14,16.7214,6.3905,3.2258,1.3466,1.9811,24,63.6364,2.218128
20,120,10,0.01,0.75,2.5,2.5,0.35,11672.14,16.7214,6.3905,3.2258,1.3466,1.9811,24,63.6364,2.218128
20,120,10,0.01,0.95,2.5,2.5,0.15,11672.14,16.7214,6.3905,3.2258,1.3466,1.9811,24,63.6364,2.218128
20,120,10,0.01,0.95,2.5,2.5,0.25,11672.14,16.7214,6.3905,3.2258,1.3466,1.9811,24,63.6364,2.218128
20,120,10,0.01,0.95,2.5,2.5,0.35,11672.14,16.7214,6.3905,3.2258,1.3466,1.9811,24,63.6364,2.218128
20,120,10,0.02,0.5,3.5,2.5,0.15,12400.18,24.0018,9.001,4.5464,1.3296,1.9798,24,63.6364,2.200277
20,120,10,0.02,0.5,3.5,2.5,0.25,12400.18,24.0018,9.001,4.5464,1.3296,1.9798,24,63.6364,2.200277
20,120,10,0.02,0.5,3.5,2.5,0.35,12400.18,24.0018,9.001,4.5464,1.3296,1.9798,24,63.6364,2.200277
20,120,10,0.02,0.75,3.5,2.5,0.15,12400.18,24.0018,9.001,4.5464,1.3296,1.9798,24,63.6364,2.200277
20,120,10,0.02,0.75,3.5,2.5,0.25,12400.18,24.0018,9.001,4.5464,1.3296,1.9798,24,63.6364,2.200277
20,120,10,0.02,0.75,3.5,2.5,0.35,12400.18,24.0018,9.001,4.5464,1.3296,1.9798,24,63.6364,2.200277
20,120,10,0.02,0.95,3.5,2.5,0.15,12400.18,24.0018,9.001,4.5464,1.3296,1.9798,24,63.6364,2.200277
20,120,10,0.02,0.95,3.5,2.5,0.25,12400.18,24.0018,9.001,4.5464,1.3296,1.9798,24,63.6364,2.200277
20,120,10,0.02,0.95,3.5,2.5,0.35,12400.18,24.0018,9.001,4.5464,1.3296,1.9798,24,63.6364,2.200277
10,120,20,0.03,0.5,1.5,2.5,0.25,20748.6,107.486,33.9668,17.1423,1.4675,1.9815,30,50.0,2.103538
10,120,20,0.03,0.5,1.5,2.5,0.35,20748.6,107.486,33.9668,17.1423,1.4675,1.9815,30,50.0,2.103538
10,120,20,0.03,0.75,1.5,2.5,0.25,20748.6,107.486,33.9668,17.1423,1.4675,1.9815,30,50.0,2.103538
10,120,20,0.03,0.75,1.5,2.5,0.35,20748.6,107.486,33.9668,17.1423,1.4675,1.9815,30,50.0,2.103538
10,120,20,0.03,0.95,1.5,2.5,0.25,20748.6,107.486,33.9668,17.1423,1.4675,1.9815,30,50.0,2.103538
10,120,20,0.03,0.95,1.5,2.5,0.35,20748.6,107.486,33.9668,17.1423,1.4675,1.9815,30,50.0,2.103538
10,120,10,0.01,0.5,3.5,2.5,0.15,11104.63,11.0463,4.2871,2.2998,1.2978,1.8641,24,63.6364,2.100672
10,120,10,0.01,0.5,3.5,2.5,0.25,11104.63,11.0463,4.2871,2.2998,1.2978,1.8641,24,63.6364,2.100672
10,120,10,0.01,0.5,3.5,2.5,0.35,11104.63,11.0463,4.2871,2.2998,1.2978,1.8641,24,63.6364,2.100672
10,120,10,0.01,0.75,3.5,2.5,0.15,11104.63,11.0463,4.2871,2.2998,1.2978,1.8641,24,63.6364,2.100672
10,120,10,0.01,0.75,3.5,2.5,0.25,11104.63,11.0463,4.2871,2.2998,1.2978,1.8641,24,63.6364,2.100672
10,120,10,0.01,0.75,3.5,2.5,0.35,11104.63,11.0463,4.2871,2.2998,1.2978,1.8641,24,63.6364,2.100672
10,120,10,0.01,0.95,3.5,2.5,0.15,11104.63,11.0463,4.2871,2.2998,1.2978,1.8641,24,63.6364,2.100672
10,120,10,0.01,0.95,3.5,2.5,0.25,11104.63,11.0463,4.2871,2.2998,1.2978,1.8641,24,63.6364,2.100672
10,120,10,0.01,0.95,3.5,2.5,0.35,11104.63,11.0463,4.2871,2.2998,1.2978,1.8641,24,63.6364,2.100672
20,120,10,0.01,0.5,3.5,2.5,0.15,11076.82,10.7682,4.1824,2.3057,1.2653,1.8139,24,63.6364,2.043925
20,120,10,0.01,0.5,3.5,2.5,0.25,11076.82,10.7682,4.1824,2.3057,1.2653,1.8139,24,63.6364,2.043925
20,120,10,0.01,0.5,3.5,2.5,0.35,11076.82,10.7682,4.1824,2.3057,1.2653,1.8139,24,63.6364,2.043925
20,120,10,0.01,0.75,3.5,2.5,0.15,11076.82,10.7682,4.1824,2.3057,1.2653,1.8139,24,63.6364,2.043925
20,120,10,0.01,0.75,3.5,2.5,0.25,11076.82,10.7682,4.1824,2.3057,1.2653,1.8139,24,63.6364,2.043925
20,120,10,0.01,0.75,3.5,2.5,0.35,11076.82,10.7682,4.1824,2.3057,1.2653,1.8139,24,63.6364,2.043925
20,120,10,0.01,0.95,3.5,2.5,0.15,11076.82,10.7682,4.1824,2.3057,1.2653,1.8139,24,63.6364,2.043925
20,120,10,0.01,0.95,3.5,2.5,0.25,11076.82,10.7682,4.1824,2.3057,1.2653,1.8139,24,63.6364,2.043925
20,120,10,0.01,0.95,3.5,2.5,0.35,11076.82,10.7682,4.1824,2.3057,1.2653,1.8139,24,63.6364,2.043925
20,120,20,0.03,0.5,1.5,2.5,0.25,20271.55,102.7155,32.7241,17.095,1.435,1.9143,30,42.8571,2.03031
20,120,20,0.03,0.5,1.5,2.5,0.35,20271.55,102.7155,32.7241,17.095,1.435,1.9143,30,42.8571,2.03031
20,120,20,0.03,0.75,1.5,2.5,0.25,20271.55,102.7155,32.7241,17.095,1.435,1.9143,30,42.8571,2.03031
20,120,20,0.03,0.75,1.5,2.5,0.35,20271.55,102.7155,32.7241,17.095,1.435,1.9143,30,42.8571,2.03031
20,120,20,0.03,0.95,1.5,2.5,0.25,20271.55,102.7155,32.7241,17.095,1.435,1.9143,30,42.8571,2.03031
20,120,20,0.03,0.95,1.5,2.5,0.35,20271.55,102.7155,32.7241,17.095,1.435,1.9143,30,42.8571,2.03031
10,120,20,0.02,0.5,1.5,2.5,0.15,16503.48,65.0348,22.2274,12.267,1.4323,1.812,30,50.0,1.975751
10,120,20,0.02,0.5,1.5,2.5,0.25,16503.48,65.0348,22.2274,12.267,1.4323,1.812,30,50.0,1.975751
10,120,20,0.02,0.5,1.5,2.5,0.35,16503.48,65.0348,22.2274,12.267,1.4323,1.812,30,50.0,1.975751
10,120,20,0.02,0.75,1.5,2.5,0.15,16503.48,65.0348,22.2274,12.267,1.4323,1.812,30,50.0,1.975751
10,120,20,0.02,0.75,1.5,2.5,0.25,16503.48,65.0348,22.2274,12.267,1.4323,1.812,30,50.0,1.975751
10,120,20,0.02,0.75,1.5,2.5,0.35,16503.48,65.0348,22.2274,12.267,1.4323,1.812,30,50.0,1.975751
10,120,20,0.02,0.95,1.5,2.5,0.15,16503.48,65.0348,22.2274,12.267,1.4323,1.812,30,50.0,1.975751
10,120,20,0.02,0.95,1.5,2.5,0.25,16503.48,65.0348,22.2274,12.267,1.4323,1.812,30,50.0,1.975751
10,120,20,0.02,0.95,1.5,2.5,0.35,16503.48,65.0348,22.2274,12.267,1.4323,1.812,30,50.0,1.975751
10,120,20,0.03,0.5,2.5,2.5,0.15,15749.74,57.4974,19.9595,11.2139,1.4186,1.7799,28,53.8462,1.951469
10,120,20,0.03,0.5,2.5,2.5,0.25,15749.74,57.4974,19.9595,11.2139,1.4186,1.7799,28,53.8462,1.951469
10,120,20,0.03,0.5,2.5,2.5,0.35,15749.74,57.4974,19.9595,11.2139,1.4186,1.7799,28,53.8462,1.951469
10,120,20,0.03,0.75,2.5,2.5,0.15,15749.74,57.4974,19.9595,11.2139,1.4186,1.7799,28,53.8462,1.951469
10,120,20,0.03,0.75,2.5,2.5,0.25,15749.74,57.4974,19.9595,11.2139,1.4186,1.7799,28,53.8462,1.951469
10,120,20,0.03,0.75,2.5,2.5,0.35,15749.74,57.4974,19.9595,11.2139,1.4186,1.7799,28,53.8462,1.951469
10,120,20,0.03,0.95,2.5,2.5,0.15,15749.74,57.4974,19.9595,11.2139,1.4186,1.7799,28,53.8462,1.951469
10,120,20,0.03,0.95,2.5,2.5,0.25,15749.74,57.4974,19.9595,11.2139,1.4186,1.7799,28,53.8462,1.951469
10,120,20,0.03,0.95,2.5,2.5,0.35,15749.74,57.4974,19.9595,11.2139,1.4186,1.7799,28,53.8462,1.951469
20,120,20,0.02,0.5,1.5,2.5,0.15,16289.22,62.8922,21.5892,12.213,1.4094,1.7677,30,42.8571,1.927476
20,120,20,0.02,0.5,1.5,2.5,0.25,16289.22,62.8922,21.5892,12.213,1.4094,1.7677,30,42.8571,1.927476
20,120,20,0.02,0.5,1.5,2.5,0.35,16289.22,62.8922,21.5892,12.213,1.4094,1.7677,30,42.8571,1.927476
20,120,20,0.02,0.75,1.5,2.5,0.15,16289.22,62.8922,21.5892,12.213,1.4094,1.7677,30,42.8571,1.927476
20,120,20,0.02,0.75,1.5,2.5,0.25,16289.22,62.8922,21.5892,12.213,1.4094,1.7677,30,42.8571,1.927476
20,120,20,0.02,0.75,1.5,2.5,0.35,16289.22,62.8922,21.5892,12.213,1.4094,1.7677,30,42.8571,1.927476
20,120,20,0.02,0.95,1.5,2.5,0.15,16289.22,62.8922,21.5892,12.213,1.4094,1.7677,30,42.8571,1.927476
20,120,20,0.02,0.95,1.5,2.5,0.25,16289.22,62.8922,21.5892,12.213,1.4094,1.7677,30,42.8571,1.927476
20,120,20,0.02,0.95,1.5,2.5,0.35,16289.22,62.8922,21.5892,12.213,1.4094,1.7677,30,42.8571,1.927476
10,120,20,0.03,0.5,1.5,4.5,0.25,23053.04,130.5304,39.7404,21.0535,1.2414,1.8876,12,60.0,1.925336
10,120,20,0.03,0.5,1.5,4.5,0.35,23053.04,130.5304,39.7404,21.0535,1.2414,1.8876,12,60.0,1.925336
10,120,20,0.03,0.75,1.5,4.5,0.25,23053.04,130.5304,39.7404,21.0535,1.2414,1.8876,12,60.0,1.925336
10,120,20,0.03,0.75,1.5,4.5,0.35,23053.04,130.5304,39.7404,21.0535,1.2414,1.8876,12,60.0,1.925336
